NOTIFICATION,DESCRIPTION,PRIORITY,INITIAL RECOMMENDATION,State,NEW RECOMMENDATION,ENGINEERING REVIEW OUTCOMES
24822467,ubolt missing,4,to be rectified,remain,to be rectified,plug off pipe
28161088,thick scaling with severe corrosion perforated grating,1,to be repaired/ replaced,remain,to be repaired/ replaced,replace grating . surface cleaning weld to grating support and paint. confirm number grating ladder to be replaced
27605376,bolt and nuts depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,proceed with nuts replacement. if able to unit shut down proceed replacement. if not replace during turnaround propose to use corrosion resistant allow bolts
27049664,thick scaling with severe corrosion perforated grating,1,to be repaired/ replaced,remain,to be repaired/ replaced,replace grating . surface cleaning weld to grating support and paint. confirm number grating ladder to be replaced
26493952,bolt and nuts depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,proceed with nuts replacement. if able to unit shut down proceed replacement. if not replace during turnaround propose to use corrosion resistant allow bolts
25938240,thick scaling with severe corrosion perforated grating,1,to be repaired/ replaced,remain,to be repaired/ replaced,replace grating . surface cleaning weld to grating support and paint. confirm number grating ladder to be replaced
25382528,bolt and nuts depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,proceed with nuts replacement. if able to unit shut down proceed replacement. if not replace during turnaround propose to use corrosion resistant allow bolts
24826816,thick scaling with severe corrosion perforated grating,1,to be repaired/ replaced,remain,to be repaired/ replaced,replace grating . surface cleaning weld to grating support and paint. confirm number grating ladder to be replaced
24271104,bolt and nuts depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,proceed with nuts replacement. if able to unit shut down proceed replacement. if not replace during turnaround propose to use corrosion resistant allow bolts
24272799,bolt and nuts badly corroded,3,to be repaired/ replaced,revise,to be painted,paint corroded flange bolts and nuts
24272951,bolts not enough threaded,3,to be rectified,revise,to be painted,paint corroded flange bolts and nuts remove seal tape
24837948,thick scaling corrosion on valve bolt and nuts approx 200mm to 300mm,2,to be repaired/ replaced,revise,to be painted,paint corroded valve flange bolts and nuts
24837949,thick scaling corrosion on valve bolt and nuts approx 200mm to 300mm,2,to be repaired/ replaced,revise,to be painted,paint corroded valve flange bolts and nuts
24857546,bolt depleted at flanges connected to bfly valvepipe support perforated less than life,4,to be repaired/ replaced,remain,to be repaired/ replaced,valve and bolts actual measurement to be taken at site. prefabricate clamp at yard and replace at site 
